occupation,total_climbers,disabled_climbers,successful_climbs,solo_climbers,claimed_success,disputed_climbs
Professor of earth sciences,1,0,0,0,0,0
Professor of computer science - robotics,1,0,0,0,0,0
Professor of computer science,1,0,0,0,0,0
Professor of computer graphics,1,0,1,0,0,0
Professor of civil engineering,1,0,0,0,0,0
Professor of chemistry and physics,1,0,0,0,0,0
Professor of chemical engineering (MIT),1,0,1,0,0,0
Professor of chemical engineering,1,0,1,0,0,0
"Professor of biology at California State College, Bakersfield",1,0,0,0,0,0
Professor of biology and chemistry,1,0,0,0,0,0
Professor of biochemistry,1,0,0,0,0,0
Professor of architecture,1,0,0,0,0,0
Professor of anesthesiology,1,0,0,0,0,0
Professor of University of Osaka,1,0,0,0,0,0
"Professor of Physics Osaka University, Faculty of Engineering",1,0,0,0,0,0
"Professor of Patrphysiology, University of Ljubljana",1,0,0,0,0,0
Professor of Finance,1,0,0,0,0,0
Professor of Earth and Climate Sciences (Univ of Maine),1,0,0,0,0,0
Professor in faculty of natural resources,1,0,1,0,0,0
Professor in education faculty (Miyazaki University),1,0,0,0,0,0
Professor at San Francisco State College,1,0,0,0,0,0
Professor at Hirosaki University,1,0,0,0,0,0
Professor at George Mason University,1,0,0,0,0,0
Professor at China University of Geosciences,1,0,1,0,0,0
Professor (geomorphologist),1,0,0,0,0,0
Professor (Seoul National University),1,0,0,0,0,0
Professor & alpine guide,1,0,0,0,0,0
Professional wall climber,1,0,0,0,0,0
Professional volleyball player,1,0,1,0,0,0
Professional still photographer & noted alpinist,1,0,0,0,0,0
Professional sportman,1,0,1,0,0,0
Professional sport climber & aspirant guide,1,0,1,0,0,0
Professional snow-boarder,1,0,0,0,0,0
Professional skydiver,1,0,0,0,0,0
Professional scuba diver,1,0,0,0,0,0
Professional rock climber,1,0,1,0,0,0
Professional photographer/specializes in mountain photography,1,0,0,0,0,0
Professional photographer hired by Iranians to photograph exped,1,0,0,0,0,0
Professional photographer (for sygma),1,0,0,0,0,0
Professional orchid grower,1,0,0,0,0,0
Professional mountain runner,1,0,1,0,0,0
Professional marketer,1,0,0,0,0,0
Professional marathon runner,1,0,0,0,0,0
Professional jockey & company director,1,0,0,0,0,0
Professional intrepreter,1,0,0,0,0,0
Professional high-altitude porter,1,0,0,0,0,0
Professional golfer,1,0,0,0,0,0
Professional fund raiser,1,0,0,0,0,0
Professional expedition base-camp manager,1,0,0,0,0,0
Professional driver,1,0,0,0,0,0
Professional diver & registered nurse,1,0,0,0,0,0
Professional dancer,1,0,0,0,0,0
Professional cylist and write about cycling,1,0,0,0,0,0
Professional climber and photographer,1,0,1,0,0,1
Professional climber and film-maker,1,0,0,0,0,0
Professional chef & cook,1,0,0,0,0,0
Professional bicycle racer,1,0,1,0,0,0
"Professional athlete (skiing, climbing, mountain biking)",1,0,1,0,0,0
"Professional alpinist, writer & lecturer",1,0,0,0,0,0
"Professional alpinist, writer & alpine guide",1,0,1,0,0,0
"Professional alpinist, guide instructor, photographer",1,0,1,0,0,0
"Professional alpinist, guide and lecturer",1,0,1,0,0,0
Professional alpinist & speaker,1,0,0,0,0,0
Professional alpinist & skiier,1,0,0,0,0,0
Professional alpinist & sales marketing man,1,0,1,0,0,0
Professional alpinist & river guide,1,0,1,0,0,0
Professional alpinist & president of business,1,0,1,0,0,0
Professional alpinist & photographer,1,0,0,0,0,0
Professional alpinist & motivational speaker,1,0,0,0,0,0
Professional alpinist & electrical engineer,1,0,0,0,0,0
Professional alpinist & businessman,1,0,0,0,0,0
Professional alpinist & alpine skier,1,0,0,0,0,0
Professional alpinist & advisor to mountaineering-equipment imp,1,0,0,0,0,0
Professional adviser to Slovenian Mountaineering Association,1,0,0,0,0,0
"Professional adventure racer, organizer of adventure races",1,0,1,0,0,0
Profession: 'building undertaker',1,0,0,0,0,0
Professinal orchestral musician,1,0,1,0,0,0
"Prof, ADD SP City",1,0,0,0,0,0
Products manager of dairy company,1,0,0,0,0,0
Production team leader,1,0,0,0,0,0
Production manager of hydraulic lifts production company,1,0,0,0,0,0
Production manager of Ishihara International Productions,1,0,0,0,0,0
Production line project manager,1,0,0,0,0,0
Production company,1,0,0,0,0,0
Production assistant on this TV project,1,0,0,0,0,0
Product specialist for recreation equipment producers,1,0,1,0,0,0
"Product manager, retail clothing company",1,0,0,0,0,0
Product manager travel,1,0,0,0,0,0
Product manager of climbing gear company,1,0,0,0,0,0
Product manager for tourist services company,1,0,1,0,0,0
Product manager for telecommunications company,1,0,0,0,0,0
Product manager (Schott AG),1,0,1,0,0,0
Product development engineer,1,0,0,0,0,0
Product design developer,1,0,0,0,0,0
Produces mountaineering equipment,1,0,0,0,0,0
Produces graphics for reports,1,0,1,0,0,0
"Producer, video",1,0,0,0,0,0
"Producer, mountaineering equipment",1,0,0,0,0,0
"Producer, BBC film",1,0,0,0,0,0
Producer on Mainichi Broadcasting Systems TV film crew,1,0,0,0,0,0
Producer of audiovisuals,1,0,0,0,0,0
Producer of alpine programs for TV broadcasting,1,0,0,0,0,0
"Producer of Lennauchfilm studio, Leningrad",1,0,0,0,0,0
Producer & movie director,1,0,0,0,0,0
Producer & cameraman,1,0,0,0,0,0
Producer,1,0,0,0,0,0
Processes health-care text,1,0,0,0,0,0
Process planning,1,0,0,0,0,0
Process operator in food industry,1,0,1,0,0,0
Process engineer,1,0,0,0,0,0
Process control engineer,1,0,0,0,0,0
Probation officer,1,0,0,0,0,0
Private tutor of children,1,0,0,0,0,0
Private tutor for children,1,0,0,0,0,0
Private tutor,1,0,0,0,0,0
Private security,1,0,0,0,0,0
Private school manager,1,0,0,0,0,0
Private investor & real estate developer,1,0,1,0,0,0
Private equity expert,1,0,1,0,0,0
Private entrepreneur (Murtazina Dzhamilia Damirovna),1,0,1,0,0,0
Private entrepreneur (Golubka Studio),1,0,1,0,0,0
Private business consultant,1,0,0,0,0,0
Prison physician,1,0,0,0,0,0
Prison guard,1,0,0,0,0,0
Printinghouse engineer,1,0,0,0,0,0
Printing-inks distributor & trekking agent,1,0,0,0,0,0
Printing technician,1,0,1,0,0,0
Printing shop owner,1,0,0,0,0,0
Printing school teacher,1,0,0,0,0,0
Printing press worker,1,0,0,0,0,0
Printing press tecnical manager,1,0,0,0,0,0
Printing press technician,1,0,1,0,0,0
Printing instructor,1,0,0,0,0,0
Printing inks distributor,1,0,0,0,1,0
Printing house owner,1,0,0,0,0,0
Printing hardware manager,1,0,1,0,0,0
Printing engineer with Ogawa Printing Co.,1,0,0,0,0,0
Printing engineer,1,0,1,0,0,0
Printing company general manager,1,0,1,0,0,0
Printing company chief executive,1,0,0,0,0,0
Printers estimator,1,0,0,0,0,0
Printer; erstwhile ski instructor,1,0,0,0,0,0
"Printer, newspapers",1,0,0,0,0,0
Printer technician,1,0,0,0,0,0
Printer in govt-owned currency printing company,1,0,0,0,0,0
Printer in government-owned currency printing company,1,0,0,0,0,0
Printer (of books),1,0,0,0,0,0
Printer (Buchdrucker),1,0,0,0,0,0
Printer & alpine guide,1,0,1,0,0,0
Print worker,1,0,0,0,0,0
Print shop owner,1,0,1,0,0,0
Print consultant,1,0,0,0,0,0
Principle policy officer,1,0,1,0,0,0
Principal of university school of sports and physical ed,1,0,0,0,0,0
Principal of high school,1,0,1,0,0,0
Principal of Himalayan Mountaineering Institute (Colonel),1,0,0,0,0,0
Principal geologist,1,0,0,0,0,0
Primary schoolteacher,1,0,0,0,0,0
Primary school teacher of physical education,1,0,0,0,0,0
Primary school teacher of history,1,0,0,0,0,0
Primary school teacher & alpine guide,1,0,1,0,0,0
Primary school sports teacher,1,0,0,0,0,0
Primary School teacher,1,0,0,0,0,0
Press spokesman for printed circuit board company,1,0,0,0,0,0
Press reporter,1,0,0,0,0,0
Press officer,1,0,0,0,0,0
"Press correspondent the Kitanippon Press, Toyama's local daily",1,0,0,0,0,0
"President, wine company",1,0,0,0,0,0
"President, water pump manufacturing company",1,0,1,0,0,0
"President, trucking company",1,0,1,0,0,0
"President, ski shop",1,0,0,0,0,0
"President, silk cloth weaving company",1,0,1,0,0,0
"President, shoe sales company",1,0,0,0,0,0
"President, several sporting equip mfg companies",1,0,1,0,0,0
"President, nuts-and-bolts factory",1,0,0,0,0,0
"President, mountaineering equipment manufacturing company",1,0,0,0,0,0
"President, medical-equipment company",1,0,0,0,0,0
"President, import-wholesale company",1,0,0,0,0,0
"President, import-export company",1,0,0,0,0,0
"President, home-building company",1,0,0,0,0,0
"President, general contracting firm",1,0,0,0,0,0
"President, friendship association (Les Amis du Nepal)",1,0,1,0,0,1
"President, designing and planning Co. (com products)",1,0,0,0,0,0
"President, cotton processing company",1,0,0,0,0,0
"President, computer consultancy company",1,0,0,0,0,0
"President, company making outdoor equipment",1,0,0,0,0,0
"President, climbing equipment manufacturing company",1,0,0,0,0,0
"President, alpine club",1,0,0,0,0,0
"President, O-Yang Iron & Steel Co., Seoul",1,0,0,0,0,0
"President, Nepal Mountaineering Association",1,0,0,0,0,0
"President, Korea Copier Company",1,0,0,0,0,0
"President, Kawase Irons Works Inc.",1,0,0,0,0,0
"President, Kawakita Optician & Co.",1,0,0,0,0,0
"President, Fujiden Co., electric wire manufacturers",1,0,0,0,0,0
President of trekking & mountaineering organizing company & alpinist,1,0,1,0,0,0
President of transport business,1,0,0,0,0,0
President of town council,1,0,0,0,0,0
President of tofu producing company,1,0,0,0,0,0
President of telecommunications equipment company,1,0,0,0,0,0
President of stainless steel manufacturing company,1,0,0,0,0,0
President of software distribution company,1,0,0,0,0,0
President of software company,1,0,0,0,0,0
President of silver recovery business,1,0,1,0,0,0
President of regional mountaineering association,1,0,1,0,0,0
President of property management company,1,0,1,0,0,0
President of plastic manufacturing company,1,0,0,0,0,0
President of mountaineering organization,1,0,0,0,0,0
President of mountain wear mmanufacturing company,1,0,0,0,0,0
President of marketing company for motor vehichles,1,0,0,0,0,0
President of iron processing company,1,0,0,0,0,0
President of information technology company,1,0,0,0,0,0
President of import company,1,0,0,0,0,0
President of gas inspection company,1,0,0,0,0,0
President of frozen food company,1,0,0,0,0,0
President of film-producing company,1,0,0,0,0,0
President of engineering consulting business,1,0,0,0,0,0
President of cosmetics company (Noevir),1,0,0,0,0,0
President of computer company,1,0,0,0,0,0
"President of company that plans car rallies & races, outdoor activitie",1,0,0,0,0,0
President of company selling organic food supplements,1,0,0,0,0,0
President of company selling company,1,0,0,0,0,0
President of company planning motor races,1,0,1,0,0,0
President of clothing company,1,0,1,0,0,0
President of civil engineering company,1,0,1,0,0,0
President of children's education and recreation company,1,0,0,0,0,0
President of chemical manufacturing company,1,0,1,0,0,0
President of building maintenance company,1,0,0,0,0,0
President of broadcasting company,1,0,0,0,0,0
President of a climbing center,1,0,1,0,0,0
President of Russian Federation of Ice Climbing,1,0,0,0,0,0
President of Nepal Cycling Association & mountain bike tour operator,1,0,1,0,0,0
President of Mountain Hardware,1,0,0,0,0,0
President of Miura Ski operation; owner of Snow Dolphine Ski Team,1,0,0,0,0,0
President of Mikigumi Co.,1,0,0,0,0,0
President of Media Arts Group,1,0,1,0,0,0
President of Kyotetsu Kogyo Co.,1,0,0,0,0,0
President of Korea Alpine Rescue Association,1,0,0,0,0,0
President of Kenya Mountain Club & newspaper editor,1,0,0,0,0,0
President of Katano Farm (sheep breeding),1,0,0,0,0,0
"President of Kamoshika Co., sporting goods shop in Tokyo",1,0,1,0,0,0
President of Iranian mountaineering federation in 1998,1,0,0,0,0,0
President of Iran Mountaineering and Sport Climbing Federation,1,0,0,0,0,0
President of Iran Mountaineering Federation,1,0,0,0,0,0
President of Federation of Mountain Climbers of Uzbekistan,1,0,0,0,0,0
President of Arun Treks & Expeditions,1,1,0,0,0,0
President of Armavir mountaineers club,1,0,1,0,0,0
President and general manager of financial holding company,1,0,0,0,0,0
President and CEO real estate,1,0,1,0,0,0
President & manager of financial advertising agency,1,0,0,0,0,0
Presents mountaineering film shows,1,0,0,0,0,0
Presents film shows to children,1,0,0,0,0,0
Prefecture government civil servant,1,0,1,0,0,0
Precision tool maker,1,0,1,0,0,0
Preceptor,1,0,0,0,0,0
Pre-school teacher,1,0,0,0,0,0
Practitioner of medicine,1,0,0,0,0,0
Practitioner of acupunture,1,0,0,0,0,0
Power tools retailer,1,0,1,0,0,0
Power station technician and mountaineering club employee,1,0,0,0,0,0
Power station operator,1,0,0,0,0,0
Power station employee,1,0,0,0,0,0
Power plant operator,1,0,1,0,0,0
Power industry project manager,1,0,1,0,0,0
Power company employee,1,0,0,0,0,0
Powdered food producer,1,0,0,0,0,0
Postmistress,1,0,0,0,0,0
Postgraduate student of geography at Tribhuvan University,1,0,0,0,0,0
Postgraduate student in physiology,1,0,0,0,0,0
"Postgraduate student in pharmacy, Kitasato University",1,0,1,0,0,0
Postgraduate student in meterology at Kyoto University,1,0,0,0,0,0
Postgraduate student in medicine,1,0,0,0,0,0
Postgraduate student in geology at Kyoto University,1,0,0,0,0,0
Postgraduate student in forestry,1,0,1,0,0,0
Postgraduate student in environmental management,1,0,0,0,0,0
Postgraduate student in biology,1,0,0,0,0,0
Postgraduate student in agriculture,1,0,0,0,0,0
Postgraduate student in agricultural engineering at Kyoto Univ.,1,0,0,0,0,0
Postgraduate student in agricultural economics,1,0,1,0,0,0
Postgraduate student,1,0,1,0,0,0
"Posted at British Gurkha Centre at Dharan, Nepal (Captain)",1,0,0,0,0,0
Postal worker & alpine guide,1,0,1,0,0,0
Postal office staff member,1,0,0,0,0,0
Postal logistics manager,1,0,0,0,0,0
Postal department employee,1,0,0,0,0,0
Postal delivery man,1,0,0,0,0,0
Postal clerk,1,0,0,0,0,0
Post-doctoral work in biochemistry at Institute of Molecular Bio,1,0,1,0,0,0
Post-doctoral researcher,1,0,0,0,0,0
Post-doc researcher,1,0,0,0,0,0
Post official technician,1,0,0,0,0,0
Post official,1,0,0,0,0,0
Post office worker,1,0,0,0,0,0
Post office mail sorter,1,0,0,0,0,0
Post office employee & alpine guide,1,0,0,0,0,0
Post office design engineer,1,0,1,0,0,0
Post office dept manager,1,0,0,0,0,0
Post office bus driver,1,0,0,0,0,0
Post graduate student of geology,1,0,0,0,0,0
Post graduate student of Kyoto University,1,0,0,0,0,0
Post graduate student in science,1,0,0,0,0,0
Post graduate student in glaciology at Nagoya University,1,0,1,0,0,0
Post graduate student,1,0,0,0,0,0
Posal mailhandler,1,0,1,0,0,0
Polytech lecturer,1,0,0,0,0,0
Polyethelene import company's sales manager,1,0,1,0,0,0
Pollution inspector,1,0,1,0,0,0
"Politician, currently member of parliament",1,0,0,0,0,0
Politician (United Communist Party of Nepal Maoist),1,0,1,0,0,0
Politician & professor,1,0,1,0,0,0
Political science student of Keio University,1,0,0,0,0,0
Political party manager,1,0,0,0,0,0
Political advisor to the prime minister,1,0,1,0,0,0
Political advisor to a member of parliament,1,0,1,0,0,0
Polish-language specialist,1,0,0,0,0,0
Polish Airlines manager,1,0,1,0,0,0
Policy analyst for local govt housing department,1,0,0,0,0,0
Policewoman,1,0,0,0,0,0
Policeman & alpine guide,1,0,0,0,0,0
Police technician,1,0,0,0,0,0
Police superintendant,1,0,0,0,0,0
Police staff,1,0,0,0,0,0
Police sports instructor,1,0,1,0,0,0
Police officer at police acadamy,1,0,1,0,0,0
Police officer and painter,1,0,0,0,0,0
Police officer (mountain rescue service),1,0,1,0,0,0
Police officer (former pro hockey player),1,0,0,0,0,0
Police officer (detective chief inspector),1,0,0,0,0,0
Police officer (Royal Hong Kong Police Force),1,0,0,0,0,0
Police officer (Kolkata police),1,0,0,0,0,0
Police officer & member of state legislature,1,0,1,0,0,0
Police officer & member of army reserve,1,0,0,0,0,0
Police office,1,0,0,0,0,0
Police mountain rescue team leader,1,0,0,0,0,0
Police head constable,1,0,1,0,0,0
Police general and lawyer,1,0,0,0,0,0
Police functionary,1,0,0,0,0,0
Police force,1,0,0,0,0,0
Police driver,1,0,0,0,0,0
Police crime scene investigator,1,0,0,0,0,0
Police consultant,1,0,0,0,0,0
Police constable in Haryana police force,1,0,1,0,0,0
Police chief,1,0,0,0,0,0
Police alpine guide,1,0,1,0,0,0
"Police Hospital, Tokyo, staff member",1,0,0,0,0,0
Police Assistant Subinspector,1,0,0,0,0,0
Polar explorer and photographer,1,0,0,0,0,0
Polar explorer,1,0,1,0,0,0
Podiatrist (foot doctor),1,0,0,0,0,0
Podiatrist,1,0,0,0,0,0
Plumbing-supplies salesman,1,0,0,0,0,0
Plumbing technician for a Swiss Assoc for Technical Assistance,1,0,0,0,0,0
Plumbing technician (Nishio Komuten Co.),1,0,0,0,0,0
Plumbing contractor,1,0,0,0,0,0
Plumbing & heating technician,1,0,0,0,0,0
"Plumber, lecturer & alpinist",1,0,1,0,0,0
"Plumber, carpenter & climber",1,0,1,0,0,0
Plumber & scientist,1,0,0,0,0,0
Playground-equipment factory owner,1,0,0,0,0,0
Plastics technician & alpine guide,1,0,0,0,0,0
Plastics technician,1,0,1,0,0,0
Plastics industry manager,1,0,0,0,0,0
Plastics industry chemist,1,0,1,0,0,0
Plastics factory manager,1,0,0,0,0,0
Plastics factory employee,1,0,1,0,0,0
Plastic technician,1,0,1,0,0,0
Plaster moulder,1,0,0,0,0,0
Plant nursery owner-manager,1,0,0,0,0,0
Plant nursery manager,1,0,0,0,0,0
Plant manager,1,0,1,0,0,0
"Plant ecologist, doing research on Alaskan tundra at Institute",1,0,1,0,0,0
Plant ecologist at University of Colorado Institute,1,0,0,0,0,0
Plant ecologist,1,0,0,0,0,0
Plans housing estates and builds houses,1,0,1,0,0,0
Planning staff of furniture factory,1,0,0,0,0,0
Planning director,1,0,0,0,0,0
Planning consultant & alpine guide,1,0,0,0,0,0
"Planning Engineer at St. Athan, Royal Air Force",1,0,0,0,0,0
Planning & budget control section in construction machinery factory,1,0,0,0,0,0
"Planning & PR manager, Korean Alpine Federation",1,0,0,0,0,0
"Planner, architect",1,0,0,0,0,0
Pizza-house worker,1,0,0,0,0,0
Pizza shop owner,1,0,0,0,0,0
Pizza chef (war veteran),1,1,1,0,0,0
Piyuth in RNA,1,0,1,0,0,0
Pipefitter in factory,1,0,0,0,0,0
Pilot with rank of flight lieutenant,1,0,0,0,0,0
Pilot with Austrian Airlines,1,0,0,0,0,0
Pilot of helicopters,1,0,0,0,0,0
Pilot of government airplane,1,0,1,0,0,0
Pilot (JAL),1,0,0,0,0,0
Pilot & former astronaut,1,0,1,0,0,0
Pilot & camera operator,1,0,0,0,0,0
Picks up odd jobs as needed,1,0,0,0,0,0
"Pianist, composer & businessman",1,0,1,0,0,0
Physiotherapist & writer,1,0,0,0,0,0
Physiotherapist & chiropodist,1,0,0,0,0,0
Physiology student,1,0,0,0,0,0
Physiology graduate student,1,0,1,0,0,0
Physiologist on university staff,1,0,0,0,0,0
Physio-acupunturist,1,0,0,0,0,0
Physics & French teacher,1,0,1,0,0,0
Physicist/materials engineer,1,0,0,0,0,0
"Physicist, senior systems engineer",1,0,1,0,0,0
"Physicist, engineerng",1,0,0,0,0,0
"Physicist, Univ of California",1,0,0,0,0,0
Physicist with IBM,1,0,1,0,0,0
Physicist specializing in radioactivity,1,0,0,0,0,0
Physicist at Grenoble Research Centre,1,0,0,0,0,0
Physicist and geneticist,1,0,0,0,0,0
Physicist and engineer,1,0,1,0,0,0
Physicist (space program at Lockheed & NASA),1,0,0,0,0,0
Physicist (micro-electronics),1,0,0,0,0,0
Physicist (University of Queensland),1,0,0,0,0,0
Physicist & teacher,1,0,1,0,0,0
Physicist & engineer,1,0,0,0,0,0
Physician: x-ray specialist,1,0,0,0,0,0
"Physician, veterinary",1,0,0,0,0,0
"Physician, urologist",1,0,0,0,0,0
"Physician, staff member of Minsk Institute of Medicine",1,0,0,0,0,0
"Physician, sports medicine",1,0,0,0,0,0
"Physician, sports & mountaineering medicine",1,0,0,0,0,0
"Physician, specialist in high-altitude medicine",1,0,0,0,0,0
"Physician, specialist in ear, nose & throat",1,0,0,0,0,0
"Physician, neurologist",1,0,0,0,0,0
"Physician, just finished serving in Royal Marines",1,0,0,0,0,0
"Physician, emergency medicine specialist",1,0,0,0,0,0
"Physician, cardiologist",1,0,0,0,0,0
"Physician, St. Peters Hospital",1,0,0,0,0,0
"Physician, Shinshu University",1,0,0,0,0,0
"Physician, Royal Army Medical College (Captain)",1,0,0,0,0,0
"Physician, ROC Innovation Center",1,0,1,0,0,0
"Physician, President of Toyoshina Health Center",1,0,0,0,0,0
"Physician, Osaka Policemen's Hospital",1,0,0,0,0,0
"Physician, Osaka City University Hospital",1,0,0,0,0,0
"Physician, Medical Seminar of Nagoya University",1,0,0,0,0,0
"Physician, Jikeikai University, School of Medicine",1,0,0,0,0,0
"Physician, Indian Air Force",1,0,0,0,0,0
"Physician, Hospital Staff",1,0,1,0,0,0
"Physician, Hokkaido University",1,0,0,0,0,0
"Physician, Citizens Hospital",1,0,0,0,0,0
"Physician, 1st Dispensary for Sportsmen",1,0,0,0,0,0
Physician's secretary,1,0,0,0,0,0
Physician with rank of surgeon Lt. Commander,1,0,0,0,0,0
Physician with rank of surgeon Lt.,1,0,1,0,0,0
Physician specializing in sports medicine (lecturer in his specialty),1,0,0,0,0,0
Physician specializing in sports medicine,1,0,0,0,0,0
Physician specializing in rehabilitation and sports,1,0,1,0,0,0
Physician specializing in physiological research,1,0,0,0,0,0
Physician specializing in nephrology,1,0,0,0,0,0
Physician specializing in intensive care,1,0,0,0,0,0
Physician specializing in high altitude problems,1,0,0,0,0,0
Physician specializing in anesthesiology,1,0,0,0,0,0
Physician specializing in anesthesia and intensive care,1,0,0,0,0,0
Physician specializing in accidents & emergency cases,1,0,1,0,0,0
Physician specializing in accident and emergency cases,1,0,0,0,0,0
"Physician specializing emergency, sports, mtn medicine",1,0,0,0,0,0
Physician specialising in lung disease,1,0,0,0,0,0
Physician on the staff of a pharmaceutical company,1,0,0,0,0,0
Physician on staff of hospital in Grenoble,1,0,0,0,0,0
Physician on staff of National Hospital,1,0,0,0,0,0
Physician on staff Sammaibashi Hospital in Ota,1,0,0,0,0,0
Physician on staff Sammaibashi Hospital in Oota city,1,0,0,0,0,0
Physician on island's hospital staff,1,0,0,0,0,0
Physician in private practice in Lyon,1,0,1,0,0,0
Physician in orthopedic clinic,1,0,0,0,0,0
Physician in navy,1,0,1,0,0,0
Physician in general practice,1,0,0,0,0,0
Physician in charge of a Himalayan Trust hospital,1,0,0,0,0,0
Physician in cancer treatment center,1,0,0,0,0,0
Physician in army sports medicine center,1,0,0,0,0,0
Physician in army (Captain),1,0,1,0,0,0
Physician in Royal Navy (rank of Lt. Commander),1,0,0,0,0,0
Physician general practitioner,1,0,0,0,0,0
Physician for insurance company,1,0,0,0,0,0
Physician for infectious diseases,1,0,1,0,0,0
Physician at Yokohama City University Hospital,1,0,0,0,0,0
Physician at Yokohama City Medical College,1,0,0,0,0,0
Physician at Univ. Hospital,1,0,0,0,0,0
Physician at Sendai Municipal Hospital,1,0,0,0,0,0
Physician at Musgrove Park Hospital,1,0,0,0,0,0
Physician at Clinic of Hosei University,1,0,0,0,0,0
"Physician at Bunkyo Hospital, Tokyo",1,0,0,0,0,0
Physician assistant,1,0,0,0,0,0
Physician anesthesiologist,1,0,1,0,0,0
Physician and surgeon,1,0,0,0,0,0
Physician and business owner,1,0,0,0,0,0
Physician (vascular surgeon),1,0,0,0,0,0
Physician (traditional Chinese medicine),1,0,0,0,0,0
Physician (teaches biology & physiology at Evergreen State Coll),1,0,0,0,0,0
Physician (surgeon) in the hospital of Nova Gorica,1,0,0,0,0,0
Physician (surgeon commander),1,0,0,0,0,0
Physician (specializes in infectious diseases),1,0,0,0,0,0
Physician (specialist in high altitude medicine),1,0,0,0,0,0
Physician (senior house officer),1,0,0,0,0,0
Physician (receiving surgical training),1,0,0,0,0,0
Physician (physiologist) now practising at Shanta Bhawan,1,0,0,0,0,0
Physician (otorhinolaryngologist surgeon),1,0,1,0,0,0
Physician (orthopedics),1,0,0,0,0,0
Physician (ophthalmologist),1,0,0,0,0,0
Physician (oncologist),1,0,0,0,0,0
Physician (obstretics),1,0,0,0,0,0
Physician (nuclear medicine),1,0,0,0,0,0
Physician (neurosurgeon),1,0,1,0,0,0
Physician (mountaineering medicine),1,0,0,0,0,0
Physician (medical director of teaching hospital),1,0,0,0,0,0
Physician (lung specialist) at Iwanai Public Hospital,1,0,0,0,0,0
Physician (lieutenant colonel) in the army medical corps,1,0,0,0,0,0
Physician (l'Ecole Nationale de Ski et d' Alpinisme),1,0,0,0,0,0
Physician (internist),1,0,0,0,0,0
Physician (internal & sports medicine),1,0,1,0,0,0
Physician (hip surgeon),1,0,1,0,0,0
Physician (gynecologist),1,0,0,0,0,0
Physician (general practice),1,0,1,0,0,0
Physician (general medicine & sports medicine),1,0,0,0,0,0
Physician (gastroenterologist),1,0,0,0,0,0
Physician (family doctor),1,0,0,0,0,0
Physician (emergency medical),1,0,1,0,0,0
"Physician (ear, nose and throat specialist)",1,0,0,0,0,0
Physician (does not practice medicine) & photographer,1,0,0,0,0,0
Physician (dental),1,0,0,0,0,0
Physician (civilian),1,0,0,0,0,0
Physician (army high mountain group),1,0,0,0,0,0
Physician (army captain),1,0,0,0,0,0
Physician (anesthesist),1,0,0,0,0,0
Physician (anaesthetist),1,0,1,0,0,0
Physician (advanced studies at University of Tokyo College),1,0,1,0,0,0
Physician (adolescent medicine),1,0,0,0,0,0
Physician (accident & emergency),1,0,1,0,0,0
Physician (Major in Army Medical Corps),1,0,0,0,0,0
Physician (Lieutenant in Royal Army Medical Corps),1,0,0,0,0,0
Physician (ICU),1,0,0,0,0,0
Physician (Captain in Army Medical Corps),1,0,0,0,0,0
Physician (Air Force),1,0,0,0,0,0
Physician (5th-year med student at Stanford),1,0,0,0,0,0
Physician & vice president of touring club,1,0,0,0,0,0
Physician & researcher in high-altitude physiology,1,0,0,0,0,0
Physician & researcher in high altitude physiology,1,0,0,0,0,0
Physician & professor rheumatology,1,0,0,0,0,0
Physician & professor of medicine,1,0,0,0,0,0
Physician & pilot,1,0,0,0,0,0
Physician & outdoor equipment designer,1,0,0,0,0,0
Physician & medical researcher,1,0,0,0,0,0
Physician & mayor of Prague,1,0,1,0,0,0
Physician & manager of fitness centre,1,0,0,0,0,0
Physician & lecturer in medicine at Osaka University,1,0,0,0,0,0
Physician & diplomat (member of International Parliament for Safety),1,0,0,0,0,0
Physician & alpinst,1,0,0,0,0,0
Physician & alpine rescuer,1,0,0,0,0,0
Physician & Air Force squadron leader,1,0,0,0,0,0
Physicial,1,0,0,0,0,0
Physical training teacher,1,0,0,0,0,0
Physical training schoolteacher,1,0,1,0,0,0
Physical training instructor in Royal Marines (Colour Sergeant),1,0,0,0,0,0
Physical trainer,1,0,0,0,0,0
Physical therapist and trainer,1,0,0,0,0,0
Physical therapist & professional artist,1,0,0,0,0,0
Physical planner,1,0,0,0,0,0
Physical fitness instructor,1,0,0,0,0,0
Physical education teacher (high school),1,0,0,0,0,0
Physical education teacher & alpine instructor,1,0,1,0,0,0
Physical education student at University of Vienna,1,0,1,0,0,0
Physical education professor at university,1,0,0,0,0,0
Physical education coach,1,0,1,0,0,0
Physicain (cardiologist),1,0,0,0,0,0
Physcian & university professor,1,0,0,0,0,0
Phsiotherapist,1,0,1,0,0,0
Photolab owner,1,0,0,0,0,0
Photojournalist with Rocky Mountain News,1,0,0,0,0,0
Photojournalist and lecturer,1,0,0,0,0,0
Photojournalist & lecturer,1,0,0,0,0,0
Photojournalist & alpinist,1,0,1,0,0,0
Photography student,1,0,0,0,0,0
Photographic student at Chiba University,1,0,1,0,0,0
Photographic shop (owned by father),1,0,1,0,0,0
Photographer; member of expedition's film team,1,0,1,0,0,0
"Photographer, writer & dealer in mountaineering equipment",1,0,0,0,0,0
"Photographer, freelance journalist & personal trainer",1,0,0,0,0,0
"Photographer, film-maker & alpine guide",1,0,0,0,0,0
